id,x,y,z,vx,vy,vz,m
1,-0.766093,-0.11663,-0.75361,-0.0649369,-0.137058,0.308388,0.015625
2,4.65264,-0.381125,-1.8284,0.430216,0.190105,0.14202,0.015625
3,0.388706,0.184603,-0.239422,0.0984434,-0.0367892,-0.370209,0.015625
4,0.220602,-0.108261,-0.31448,-0.728241,0.721641,-0.147708,0.015625
5,-0.229008,0.811161,-0.212746,0.169763,0.142558,0.22791,0.015625
6,-0.717819,-0.219104,0.884966,0.391098,0.329736,-0.0634008,0.015625
7,-0.468898,-0.797661,-0.754468,0.681298,-0.391369,-0.205239,0.015625
8,0.213063,0.259674,0.37922,-0.0166243,-0.0214489,-0.224098,0.015625
9,-0.0503576,0.360535,-0.312901,-0.746086,0.0877809,-0.41662,0.015625
10,-4.80891,1.05738,0.125369,-0.0975149,-0.161764,-0.132775,0.015625
11,-0.911112,-0.0984883,0.536535,-0.0310147,0.317153,0.404497,0.015625
12,-0.396683,-0.389168,0.00149193,-0.85947,-0.493154,-0.518128,0.015625
13,-0.0246447,-0.320212,-0.272724,0.265308,-0.0348432,-0.164796,0.015625
14,2.75627,-1.46239,-1.54838,0.0976634,0.23955,-0.188474,0.015625
15,-0.0322157,0.156169,-0.345707,0.137416,0.235431,-0.866187,0.015625
16,-0.718619,0.0930512,-0.282661,0.249888,0.771652,0.809737,0.015625
17,-0.382095,1.1511,-0.889232,0.354698,0.0889683,-0.652012,0.015625
18,0.243711,0.526968,-0.0710949,0.256294,-0.492688,-0.143911,0.015625
19,-0.237451,2.70875,-0.774291,0.188222,0.133152,0.105359,0.015625
20,-0.193136,0.0885707,0.0440031,-0.098388,-0.254849,0.917495,0.015625
21,-0.347576,0.39999,0.135528,-0.0265293,0.377701,0.214491,0.015625
22,-0.976695,0.24122,0.0432185,-0.24137,-0.0765751,0.00830773,0.015625
23,-0.178332,0.129685,-1.27376,0.0471376,-0.321594,0.563764,0.015625
24,-0.562201,-0.378149,0.838516,-0.0598397,-0.657731,0.486307,0.015625
25,-1.14565,-0.164623,-0.269309,0.432792,0.196501,0.0649713,0.015625
26,-0.411335,-0.48046,0.116905,-0.594428,-0.523851,0.0121262,0.015625
27,-0.486293,0.305967,0.380812,0.152292,-0.22284,-0.191906,0.015625
28,-0.0577005,-0.132095,0.153982,0.269718,-0.0201253,-0.669031,0.015625
29,-0.207344,0.446461,-0.582604,0.351297,-0.472397,0.100774,0.015625
30,-0.569453,0.0155838,0.31221,-0.399342,-0.046579,0.468382,0.015625
31,-0.798403,-0.509098,0.0384206,0.491602,0.138972,0.781334,0.015625
32,0.516545,0.657186,-0.292513,0.459021,0.243617,0.277054,0.015625
33,2.59437,-3.86567,5.51544,-0.0370959,-0.130095,-0.0696797,0.015625
34,-0.469327,0.529741,0.112562,0.246431,0.483266,0.628093,0.015625
35,-0.0454338,-0.246166,2.82388,0.290025,0.109192,-0.314223,0.015625
36,0.179732,-0.525383,-0.0944896,-0.549369,0.120664,0.196858,0.015625
37,0.687368,-1.03303,0.475069,0.411645,0.0258322,0.377828,0.015625
38,-0.44252,-0.391558,-0.633581,-0.641662,-0.555224,0.142461,0.015625
39,-0.7499,0.279818,-0.550842,-0.317007,0.387232,-0.573013,0.015625
40,0.124955,-0.122882,-0.0635523,-0.863164,0.179091,-0.375607,0.015625
41,-0.449813,-0.0106244,-0.236861,-0.907157,-0.0442288,-0.263732,0.015625
42,-0.259248,-0.266024,0.335841,0.41516,0.468826,-0.718332,0.015625
43,-1.01272,-0.837071,-0.699621,-0.0887384,-0.278043,0.158851,0.015625
44,-0.0742839,0.200583,-0.484331,0.768179,0.0805585,-0.746801,0.015625
45,0.612099,0.5872,-0.814462,0.243297,-0.11757,0.0748283,0.015625
46,-0.170962,0.10947,-0.816994,-0.416529,-0.346691,-0.210154,0.015625
47,0.0852321,0.0338672,0.0840563,0.100731,-0.163881,-0.239294,0.015625
48,0.598498,0.184709,1.11682,-0.1405,-0.222796,0.296219,0.015625
49,-0.31776,-0.0281269,0.479937,0.464261,-0.299562,0.139395,0.015625
50,0.634882,-0.841572,0.159142,0.117861,-0.212969,-0.0992257,0.015625
51,-0.581384,0.145679,-0.639609,0.420215,-0.0899478,0.83971,0.015625
52,-0.289687,-0.684483,-0.9408,0.00452784,0.106558,0.465001,0.015625
53,1.06113,-0.744488,-0.0880426,-0.0239735,-0.332374,0.222281,0.015625
54,0.335628,0.787584,0.382211,-0.0278188,0.249406,-0.0321207,0.015625
55,0.514153,-0.917699,0.223589,0.07452,0.606917,-0.60128,0.015625
56,-0.133589,0.237868,-1.3982,-0.499409,-0.290926,0.280849,0.015625
57,-0.0391352,0.202689,0.0965302,-0.26099,0.188432,-0.399548,0.015625
58,0.0984395,0.399795,-1.39504,-0.633833,-0.327502,-0.174316,0.015625
59,1.70586,1.43429,1.43671,-0.0155479,-0.185146,-0.0270464,0.015625
60,-0.408438,2.16563,0.153274,0.412612,-0.17228,-0.20847,0.015625
61,-0.346075,0.0700316,-0.402532,-0.282417,1.04609,-0.23136,0.015625
62,0.678459,0.266862,-1.43327,0.0523835,-0.078118,0.305233,0.015625
63,1.47705,-1.02194,0.743125,-0.0706843,-0.0717297,0.177305,0.015625
64,1.0889,-0.13568,3.58114,0.193667,0.0181518,0.0408658,0.015625
