id,gforce,gx,gy,gz
94,4.433177134111219E-15,6.901118945570773E-16,-2.0793736483206375E-16,1.373141197436051E-15
1721,1.279449407449943E-15,9.914092396551048E-17,9.093900423318979E-17,7.342259278032388E-16
5916,2.1558922673750464E-16,-3.1551903015673504E-17,1.463588013212743E-16,8.965121565236745E-17
10562,4.942514337775437E-16,-2.6766451600625985E-16,-4.547246027518083E-17,-2.275478302815852E-16
17253,5.442301012211395E-15,1.1966239808560787E-15,-5.278647535110056E-16,-2.6910630752453453E-16
23564,2.355216349682176E-15,5.01619913752871E-16,-8.619447246827238E-16,-5.936137544405409E-16
27721,4.3362585794086316E-16,1.9298132026104058E-17,-2.3762930967604283E-16,-2.0790958076279814E-16
30395,3.599980117791111E-15,-1.1462331180324374E-15,-5.138940342783479E-16,6.81831387631245E-16
37195,1.2087399027832362E-15,-1.2115243324807047E-16,7.197665652533037E-16,5.5094324590338415E-17
40916,1.1920368475186993E-15,2.461730481182247E-16,-3.718384946911909E-16,5.394201449101119E-16
49228,1.50526968155887E-16,1.0586721558142229E-16,-2.358651949113825E-17,7.317268867932097E-17
50581,1.4833620501473499E-15,7.256409100737133E-16,2.8990948228908774E-16,-3.366323080117325E-16
56748,4.943941043040261E-16,3.5277102989494214E-16,6.675242067241172E-18,-2.7461652326634238E-17
57579,7.703663806710501E-16,-2.030659569248365E-16,-3.693701267220363E-16,-2.9457355884865004E-16
57794,1.1294234766492795E-15,1.137108480971049E-16,-6.622576397831507E-16,-1.1601978987545084E-16
58399,3.7033577151849625E-15,-9.74885290760331E-16,4.183577327818704E-16,8.67947219171087E-16
59450,5.047300670471099E-15,1.0363201327356168E-15,-6.065979082258821E-17,-1.1409633945352705E-15
59805,5.4902745713270975E-15,-1.081263388186534E-15,-5.498041196834972E-16,-9.788950432738371E-16
61682,6.395479059414351E-15,-6.844031519387075E-16,2.3990928953916237E-16,1.1207408825407654E-15
680,2.9056679872974224E-16,-2.170530731196791E-16,-3.512526544435447E-17,6.20002798959911E-17
1834,6.444727038922607E-17,7.343963306050561E-18,-2.757458782894416E-17,5.415561935305345E-17
4851,1.9507937698197264E-15,-1.0998202927127195E-16,1.0144813310802873E-15,1.6512865914561634E-16
12423,3.69596645950356E-15,-1.2233643209693034E-15,6.928672083387845E-16,7.849341001181946E-16
12579,3.9002841444704325E-16,-1.0133528013343406E-16,-1.3958892594479468E-16,2.339653866007008E-16
21351,1.0936507386674299E-16,-7.237432783300074E-17,8.114244048730559E-18,6.681074389611085E-17
23714,1.5417588309331736E-15,6.59329384173702E-16,-4.4228771110502847E-16,3.733290846832184E-16
26212,2.3197505592214376E-16,-1.801791149431133E-16,5.195084023029278E-17,3.485169842233137E-17
29207,5.587275816391131E-16,-1.4023438404778073E-16,2.4189735253814037E-16,2.835492469717563E-16
29364,4.230041831767729E-15,-4.731064929107383E-17,6.219172437199591E-16,1.3319748291269494E-15
44142,5.932559648129094E-16,3.0034057051420774E-17,4.0458297169317813E-16,-7.591305507837667E-17
48528,2.5286644782483962E-15,2.676200898416084E-16,4.2758632885432575E-16,9.821825138905116E-16
50910,1.4938018762604871E-15,-1.1717829220005073E-16,7.518324125125995E-16,4.101199544903074E-16
51730,3.5166982575336984E-16,7.52357064266541E-17,-1.7119437027589333E-16,-1.811446419240227E-16
60468,2.551333373605264E-15,5.871789194609966E-16,1.002606245803716E-15,2.1967134020288677E-16
61959,9.903413063912872E-16,-6.035311826161641E-17,5.353163058694766E-16,-2.846224294503754E-16
6813,1.3391016200454722E-16,2.2159710783496262E-17,3.068354007768109E-17,1.1201471614644905E-16
9752,4.534497407974661E-15,9.902207954914473E-16,-4.991937645936349E-16,7.350299054925137E-16
15029,9.719582621187981E-17,-6.529829978698232E-17,4.660888867278061E-17,-3.821076400932203E-17
18617,5.773414229119254E-16,-1.119207742302961E-16,-9.5577210990615E-17,-3.5626356005824416E-16
21509,3.0806989248371294E-15,-1.2403901299816483E-15,1.1011160370383854E-17,4.968210519856173E-16
26278,9.66043190352031E-16,2.8929362268301435E-16,3.9536693012927977E-16,3.0936546943702514E-16
31844,1.1923052243554658E-15,6.672391039557449E-16,1.5831694948981213E-16,-1.7671139119456338E-16
32781,6.488789432648878E-16,-2.474027589335557E-16,-1.581053091112539E-16,3.2834496389685555E-16
35021,2.668998981131916E-15,8.371486427631726E-16,-5.266951547668699E-17,8.675573192988462E-16
37243,8.718029415791685E-16,-4.577198173992906E-16,3.3823866338493134E-16,-2.3952994237456554E-17
43789,8.13706755438305E-16,-4.9857115549624605E-17,-3.3611030533022205E-16,-3.2848797728231044E-16
48937,2.008598172964217E-15,1.5440264581151447E-16,5.292925101076741E-16,9.369691655055682E-16
53139,1.2786541712971337E-15,1.3295550005927E-16,5.276913930002889E-16,4.967145810500956E-16
59762,2.1085030870161207E-15,3.4269678170908985E-16,9.20218021082996E-16,4.617137942701389E-16
18167,7.264332452137556E-15,-3.2515115651864866E-16,1.1267639670031948E-15,2.8443139632048824E-16
18650,2.5734900071259158E-15,-6.829196924981637E-16,9.463955370074145E-16,-7.881330843292095E-17
23446,6.857185145767067E-16,-3.8566400403395596E-16,1.334573754679014E-16,-2.1543603422892254E-16
27560,1.2429046991312566E-15,-1.3935464271616508E-16,-5.758600576876949E-16,4.41384386951859E-16
30735,3.3843393052479727E-15,-1.2533372201244316E-15,1.054073752275529E-18,6.475246791112865E-16
34414,2.651590570276261E-15,8.061218067069388E-16,-8.067328189409514E-16,5.382094327479364E-16
38396,8.470576952413518E-16,-5.602773198354796E-17,-3.7586452597205303E-16,3.866482841090628E-16
38537,2.2160464587051256E-16,1.2690427765734624E-17,1.2594744279278735E-16,1.3222958390600926E-16
44101,1.7215028326886944E-16,5.22343023378213E-17,-1.2924091829234998E-16,-3.837027004911992E-17
6083,6.147036256916476E-16,-2.3852009470149904E-16,-3.5021754682941917E-16,2.59733697633758E-17
10751,4.093832061520014E-15,1.4396471223188134E-15,5.046344505176924E-16,5.093603177715121E-16
17978,4.305698777347179E-15,4.3739174313495254E-16,-1.3596660124235819E-15,-6.453810605835863E-16
22361,1.7663000090903952E-15,7.14886782246847E-16,5.707877797804866E-16,-1.2258915933648164E-16
22375,2.730784065289673E-15,1.2227876061056366E-15,-1.1595872910195258E-16,2.5241112704725077E-16
24169,7.989703182254408E-16,-4.994983439979319E-16,-1.7133617292037046E-17,-1.8217167044797447E-16
37920,2.6317056341022805E-15,-1.4412514797212931E-18,9.449113188016682E-16,7.154710545034314E-16
39039,7.992881946443139E-16,2.891884616920229E-16,-1.4705742681342305E-17,4.293364976190064E-16
40155,5.346367873602923E-16,-2.051371994323887E-17,6.599004506133045E-17,-3.6699055403738437E-16
40592,1.5566373919488056E-15,-2.887850756823235E-16,6.669361101543791E-16,3.6736340408906025E-16
43731,6.527455931578094E-16,4.0071353818500945E-16,7.283668244806992E-18,-1.626599912788067E-16
45633,1.2602423892547677E-15,3.266569100581744E-16,2.80467541953792E-17,-6.646426065598819E-16
52901,1.353304642789061E-15,4.367550540700145E-17,7.3387654645681205E-16,1.4755105772938434E-16
61421,2.274350339401328E-15,9.091480826195228E-16,5.811918106386601E-16,3.5865170772579226E-16
61901,1.813197042611451E-15,2.438519680040014E-16,3.9947371586428886E-16,-8.471494552456223E-16
63931,1.0768839174650686E-15,1.5723946089733975E-17,6.445927765214494E-16,7.350872830125382E-17
8330,1.2748922678603257E-15,4.031064567978398E-16,-5.90747584729007E-16,-2.0204537735752622E-16
14528,6.793936294544058E-15,6.270370923957854E-16,-1.9955803942130475E-16,-1.0655146738866141E-15
14899,6.029926857820168E-16,-2.047036417245337E-16,3.274651065053215E-16,1.2382087724074081E-16
15197,7.449437581067035E-15,8.81235214959322E-16,-6.809966604558287E-16,2.09045688472703E-16
16075,1.4413876115861314E-16,5.049343716894279E-17,-9.432357436608516E-17,-6.562967775270104E-17
16179,9.001690707421157E-16,-4.28094041133227E-17,3.173643370346792E-16,4.796030618008545E-16
20331,7.34447877217732E-16,-3.085358318005835E-16,3.656495265806649E-16,3.388509699327201E-17
21683,3.2809266295768058E-15,1.196834339610224E-15,4.975656165877327E-16,5.2675915212666555E-17
25605,7.182886055773207E-16,-1.2120447202577815E-16,6.86543030383385E-17,-4.629318458896677E-16
32300,3.8068877244389284E-15,4.484038179006964E-16,9.608129996324257E-16,9.41657165731789E-16
36658,1.4408583899187572E-15,6.459866589370412E-16,4.116451104902108E-16,-3.179307811956956E-16
57531,2.1538522233070033E-16,-1.1020216534986972E-16,1.556865500125121E-17,-1.3965452888721009E-16
5671,5.540584041673841E-15,8.618431429552006E-16,-1.871485680435277E-16,1.1416309774717848E-15
8726,1.7524515186039345E-15,-6.834889522850623E-16,-6.778310555011629E-16,-1.1954515085172905E-16
16961,4.117115364981048E-15,1.1994036760921054E-15,-5.721498611189591E-16,-6.089184887950632E-16
22539,1.1586262414039396E-15,2.605040748861712E-16,5.922325991216196E-16,-2.6882816727223866E-16
